i_m_h_street_name,ta_street,result_name
אנדרסן,אנדרסן,אנדרסן
אנטוקולסקי,אנטוקולסקי,אנטוקולסקי
אנטיגונוס,אנטיגונוס,אנטיגונוס
אני מאמין,אני מאמין,אני מאמין
אנילביץ מרדכי,אנילביץ מרדכי,אנילביץ מרדכי
אנסקי,אנסקי,אנסקי
אסירי ציון,אסירי ציון,אסירי ציון
אסף הרופא,אסף הרופא,אסף הרופא
אסתר המלכה,אסתר המלכה,אסתר המלכה
"אפ""ק","אפ""ק","אפ""ק"
אפטר יעקב,אפטר יעקב,אפטר יעקב
אפלטון,אפלטון,אפלטון
אפקים,אפקים,אפקים
אפשטיין,אפשטיין יצחק,אפשטיין
"אצ""ל","אצ""ל","אצ""ל"
אקסלרוד נתן,אקסלרוד נתן,אקסלרוד נתן
ארבע ארצות,ארבע ארצות,ארבע ארצות
ארבר מנחם,ארבר מנחם,ארבר מנחם
ארזי יהודה,ארזי יהודה,ארזי יהודה
ארטר יצחק,ארטר יצחק,ארטר יצחק
אריאל,אריאל,אריאל
אריסטו,אריסטו,אריסטו
ארלוזורוב,ארלוזורוב,ארלוזורוב
ארליך,ארליך,ארליך
ארלנג'ר,ארלנג'ר,ארלנג'ר
ארם משה,ארם משה,ארם משה
ארנון,ארנון,ארנון
ארניה אסוולדו,ארניה אוסוולדו,ארניה אסוולדו
אש שלום,אש שלום,אש שלום
אשדוד,אשדוד,אשדוד
אשכול לוי,אשכול לוי,אשכול לוי
אשכנזי,אשכנזי ישראל,אשכנזי
אשקלון,אשקלון,אשקלון
אשרמן יוסף,אשרמן יוסף,אשרמן יוסף
אשתורי הפרחי,אשתורי הפרחי,אשתורי הפרחי
"ב""ק ישראל","ב""ק ישראל","ב""ק ישראל"
באכר זאב,באכר זאב,באכר זאב
באר טוביה,באר טוביה,באר טוביה
באר שבע,באר שבע,באר שבע
בארט,בארט אהרון,בארט
בארי,בארי,בארי
בבלי,בבלי,בבלי
בדולח,בדולח,בדולח
בובליק,בובליק,בובליק
בובר שלמה,בובר שלמה,בובר שלמה
בוגרשוב,בוגרשוב,בוגרשוב
בודנהיימר,בודנהיימר,בודנהיימר
בויאר אברהם,בויאר אברהם,בויאר אברהם
בוני העיר,בוני העיר,בוני העיר
בוסל,בוסל,בוסל
בוסתנאי,בוסתנאי,בוסתנאי
בועז,בועז,בועז
בוקי בן יגלי,בוקי בן יגלי,בוקי בן יגלי
בוקסנבאום יוסף,בוקסנבאום יוסף,בוקסנבאום יוסף
בורוכוב,בורוכוב,בורוכוב
בורלא יהודה,בורלא יהודה,בורלא יהודה
בורמה,בורמה,בורמה
בושם,בושם,בושם
בזל,בזל,בזל
בחור אליהו,בחור אליהו,בחור אליהו
ביאליק,ביאליק,ביאליק
ביירון,ביירון,ביירון
"ביל""ו","ביל""ו","ביל""ו"
בילטמור,בילטמור,בילטמור
בילינסון,בילינסון,בילינסון
בינט מאיר,בינט מאיר,בינט מאיר
בירנבוים,בירנבוים,בירנבוים
בירנית,בירנית,בירנית
בית אל,בית אל,בית אל
בית אלפא,בית אלפא,בית אלפא
בית אשל,בית אשל,בית אשל
בית גוברין,בית גוברין,בית גוברין
בית הלל,בית הלל,בית הלל
בית השואבה,בית השואבה,בית השואבה
בית חדש,בית חדש,בית חדש
בית יוסף,בית יוסף,בית יוסף
בית לחם,בית לחם,בית לחם
בית עובד,בית עובד,בית עובד
בית פלט,בית פלט,בית פלט
בית צורי אליהו,בית צורי אליהו,בית צורי אליהו
בית קציר,בית קציר,בית קציר
בית שמאי,בית שמאי,בית שמאי
בכורי ציון,בכורי ציון,בכורי ציון
בלוך דוד,בלוך דוד,בלוך דוד
בלום ליאון,בלום ליאון,בלום ליאון
בלפור,בלפור,בלפור
בלקינד,בלקינד,בלקינד
"בן אב""י איתמר","איתמר בן אב""י","בן אב""י איתמר"
בן אביגדור,בן אביגדור,בן אביגדור
בן אחיטוב,בן אחיטוב,בן אחיטוב
בן אשר,בן אשר,בן אשר
בן גמליאל,רבן גמליאל,בן גמליאל
בן הלל מרדכי,בן הלל מרדכי,בן הלל מרדכי
בן זאב,בן זאב,בן זאב
בן זבארה,בן זבארה,בן זבארה
בן חיים פאול,בן-חיים פאול,בן חיים פאול
בן חיל,בן חיל,בן חיל
בן יהודה,בן יהודה,בן יהודה
בן יוסף שלמה,בן יוסף שלמה,בן יוסף שלמה
בן ישי,בן ישי,בן ישי
בן סירא,בן סירא,בן סירא
בן סרוק,בן סרוק,בן סרוק
בן עזרא,בן עזרא,בן עזרא
בן עטר,בן עטר,בן עטר
בן עמי,בן עמי,בן עמי
בן שטח שמעון,שמעון בן שטח,בן שטח שמעון
בן שמן,בן שמן,בן שמן
בן שפרוט,בן שפרוט,בן שפרוט
בנבנישתי,בנבנישתי,בנבנישתי
בני אפרים,בני אפרים,בני אפרים
בני ברק,בני ברק,בני ברק
בני בתירא,בני בתירא,בני בתירא
בני דן,בני דן,בני דן
בני משה,בני משה,בני משה
בניהו,בניהו,בניהו
בנימין מטודלה,בנימין מטודלה,בנימין מטודלה
בנימיני אהרון,בנימיני אהרון,בנימיני אהרון
בעל הטורים,בעל הטורים,בעל הטורים
בעל העקידה,בעל העקידה,בעל העקידה
בעלי התוספות,בעלי התוספות,בעלי התוספות
בצלאל,בצלאל,בצלאל
בצרה,בצרה,בצרה
בצרון,בצרון,בצרון
בקר אהרון,בקר אהרון,בקר אהרון
בר אילן,בר אילן,בר אילן
בר גיורא,בר גיורא,בר גיורא
בר יוחאי,בר יוחאי,בר יוחאי
בר כוכבא,בר כוכבא,בר כוכבא
בראלי,בראלי,בראלי
ברגסון,ברגסון,ברגסון
ברגרנר אליזבת,ברגנר אליזבת,ברגרנר אליזבת
ברדיצ'בסקי,ברדיצ'בסקי,ברדיצ'בסקי
ברודצקי,ברודצקי,ברודצקי
ברוק צבי,ברוק,ברוק צבי
ברוריה,ברוריה,ברוריה
ברזאני משה,ברזאני משה,ברזאני משה
ברזיל,ברזיל,ברזיל
ברזילי,ברזילי,ברזילי
ברטונוב יהושע,ברטונוב יהושע,ברטונוב יהושע
בריג אמיל,בריג אמיל,בריג אמיל
בריינין ראובן,בריינין ראובן,בריינין ראובן
ברכיה,ברכיה,ברכיה
ברכיהו הנקדן,ברכיהו הנקדן,ברכיהו הנקדן
ברלין אליהו,ברלין אליהו,ברלין אליהו
ברנדיס,ברנדיס,ברנדיס
ברנט,ברנט,ברנט
ברנפלד שמעון,ברנפלד שמעון,ברנפלד שמעון
ברנר,ברנר,ברנר
ברנשטיין אדוארד,ברנשטיין אדוארד,ברנשטיין אדוארד
ברסקי יהודה לייב,ברסקי יהודה לייב הלוי,ברסקי יהודה לייב
ברק,ברק,ברק
ברקאי שמואל,ברקאי שמואל,ברקאי שמואל
ברקוביץ,ברקוביץ,ברקוביץ
ברש אשר,ברש אשר,ברש אשר
בת גלים,בת גלים,בת גלים
בת ים,בת ים,בת ים
בת יפתח,בת יפתח,בת יפתח
בת מרים יוכבד,בת מרים יוכבד,בת מרים יוכבד
בת עין,בת עין,בת עין
בת עמי,בת עמי,בת עמי
בת ציון,בת ציון,בת ציון
גאולה,גאולה,גאולה
גבולות,גבולות,גבולות
גבירטיג מרדכי,גבירטיג מרדכי,גבירטיג מרדכי
גבעולים,גבעולים,גבעולים
גבעון,גבעון,גבעון
גבעת המורה,גבעת המורה,גבעת המורה
גבעת הרצל,הרצל,גבעת הרצל
גבעת התחמושת,גבעת התחמושת,גבעת התחמושת
"גבעת כ""ח","גבעת כ""ח","גבעת כ""ח"
גבעתי,גבעתי,גבעתי
גדיש,גדיש,גדיש
גדעון,גדעון,גדעון
גדרה,גדרה,גדרה
גואל,גואל,גואל
גובר רבקה,גובר רבקה,גובר רבקה
גוז'קוב,גוז'יקוב,גוז'קוב
גוטליב,גוטליב,גוטליב
גוטמן נחום,גוטמן נחום,גוטמן נחום
גולדברג,גולדברג,גולדברג
גולדמן נחום,גולדמן נחום,גולדמן נחום
גולדפאדן,גולדפאדן,גולדפאדן
גולומב,גולומב,גולומב
גולינקין מרדכי,גולינקין מרדכי,גולינקין מרדכי
גור יהודה,גור יהודה,גור יהודה
גורדון י ל,ורד,גורדון י ל
גורי ישראל,גורי ישראל,גורי ישראל
גורקי,גורקי,גורקי
גוש 6992,ו',גוש 6992
גוש עציון,גוש עציון,גוש עציון
גזר,גזר,גזר
גייגר,גייגר,גייגר
גינוסר,גינוסר,גינוסר
גינצבורג,גינצבורג,גינצבורג
גיתית,גיתית,גיתית
גלוסקא זכריה,גלוסקא זכריה,גלוסקא זכריה
גלוסקין,גלוסקין,גלוסקין
גלילי ישראל,גלילי ישראל,גלילי ישראל
גליצנשטין,גליצנשטיין,גליצנשטין
גליקסברג,גליקסברג,גליקסברג
גליקסון,גליקסון,גליקסון
גלעינית,גלעינית,גלעינית
גני יהושע,הושע,גני יהושע
גני צהלה,י',גני צהלה
גנסין,גנסין,גנסין
געש,געש,געש
גר צדק,גר צדק,גר צדק
גרוזנברג,גרוזנברג,גרוזנברג
גרונימן,גרונימן,גרונימן
גרונר דב,גרונר דב,גרונר דב
גרוסמן חייקה,גרוסמן חייקה,גרוסמן חייקה
גרוסמן מאיר,גרוסמן מאיר,גרוסמן מאיר
גריזים,גריזים,גריזים
גרינבוים,גרינבוים,גרינבוים
גרץ,גרץ,גרץ
גת רימון,גת רימון,גת רימון
דאנטה,דאנטה,דאנטה
דב ממזריץ,דב ממזריץ,דב ממזריץ
דבורה,דבורה הנביאה,דבורה
דבורה הנביאה,דבורה הנביאה,דבורה הנביאה
דגניה,דגניה,דגניה
דה האז,דה האז,דה האז
דה וינצ'י לאונרדו,דה וינצ'י לאונרדו,דה וינצ'י לאונרדו
דה מודינה אריה,דה מודינה אריה,דה מודינה אריה
דה פיג'וטו,דה פיג'וטו,דה פיג'וטו
דובנוב,דובנוב,דובנוב
דוד הראובני,הראובני דוד,דוד הראובני
דודאים,דודאים,דודאים
דוחן,דוחן,דוחן
דוידקה,דוידקה,דוידקה
דוליצקי,דוליצקי,דוליצקי
דולצ'ין אריה,דולצ'ין  אריה,דולצ'ין אריה
דונולו הרופא,דונולו הרופא,דונולו הרופא
דורון,דורון,דורון
די רוסי,די רוסי,די רוסי
דיזנגוף,דיזנגוף,דיזנגוף
דיזנגוף סנטר,דיזנגוף,דיזנגוף סנטר
דילה רינה יוסף,דילה רינה יוסף,דילה רינה יוסף
דיסנצ'יק אריה,דיסנצ'יק אריה,דיסנצ'יק אריה
דיק,דיק,דיק
דליה רביקוביץ,רביקוביץ' דליה,דליה רביקוביץ
דם המכבים,דם המכבים,דם המכבים
דניאל,דניאל,דניאל
דעואל,דעואל,דעואל
דפנה,דפנה,דפנה
דקל,דקל,דקל
דרויאנוב,דרויאנוב,דרויאנוב
דרור,דרור,דרור
דרזנר יחיאל,דרזנר יחיאל,דרזנר יחיאל
דריוס מיו,מיו דריוס,דריוס מיו
דריפוס,דריפוס,דריפוס
דרך אליאב לובה,אב,דרך אליאב לובה
דרך בגין,ד',דרך בגין
דרך בן צבי,בן צבי,דרך בן צבי
דרך בר-לב חיים,בר-לב חיים,דרך בר-לב חיים
דרך דיין משה,דיין משה,דרך דיין משה
דרך הגבורה,הגבורה,דרך הגבורה
דרך ההגנה,ההגנה,דרך ההגנה
דרך הטייסים,הטייסים,דרך הטייסים
דרך השלום,דרך השלום,דרך השלום
דרך יגאל ידין,ידין יגאל,דרך יגאל ידין
דרך יפו,יפו,דרך יפו
דרך נמיר מרדכי,נמיר מרדכי,דרך נמיר מרדכי
דרך שלמה,שלמה,דרך שלמה
דשבסקי,דשבסקי,דשבסקי
הא באייר,הא באייר,הא באייר
האגוז,האגוז,האגוז
האגמון,האגמון,האגמון
האוזנר דב,האוזנר דב,האוזנר דב
האומנים,האומנים,האומנים
האחים מסלאויטה,האחים מסלאויטה,האחים מסלאויטה
האלקושי,האלקושי,האלקושי
האמוראים,האמוראים,האמוראים
האסיף,האסיף,האסיף
האקליפטוס,האקליפטוס,האקליפטוס
"האר""י","האר""י","האר""י"
הארבעה,הארבעה,הארבעה
הארד,הארד,הארד
האשכולית,האשכולית,האשכולית
האתרוג,האתרוג,האתרוג
הברון הירש,הברון הירש,הברון הירש
הברוש,הברוש,הברוש
הברזל,הברזל,הברזל
הבשן,הבשן,הבשן
הגבור האלמוני,הגבור האלמוני,הגבור האלמוני
הגבורים,ו',הגבורים
הגדוד העברי,הגדוד העברי,הגדוד העברי
הגולן,הגולן,הגולן
הגיחון,הגיחון,הגיחון
הגייסות,הגייסות,הגייסות
הגלבוע,הגלבוע,הגלבוע
הגליל,הגליל,הגליל
הגלעד,הגלעד,הגלעד
הגמנסיה העברית,הגמנסיה העברית,הגמנסיה העברית
הגפן,הגפן,הגפן
"הגר""א","הגר""א","הגר""א"
הדגה,הדגה,הדגה
הדואר,הדואר,הדואר
הדולפין,הדולפין,הדולפין
הדסה,הדסה,הדסה
הדף היומי,הדף היומי,הדף היומי
הדר יוסף,הדר יוסף,הדר יוסף
ההגה,ההגה,ההגה
ההדס,ההדס,ההדס
הוברמן,הוברמן,הוברמן
הודיה,הודיה,הודיה
הוז דב,הוז דב,הוז דב
הולצברג שמחה,הולצברג שמחה,הולצברג שמחה
הונא,הונא,הונא
הופיין,הופיין,הופיין
הורודצקי,הורודצקי,הורודצקי
הושע,הושע,הושע
הזוהר,הזוהר,הזוהר
הזז חיים,הזז חיים,הזז חיים
הזית,הזית,הזית
הזמיר,הזמיר,הזמיר
הזרם,הזרם,הזרם
החבצלת,החבצלת,החבצלת
החטה,ט',החטה
החלוצים,החלוצים,החלוצים
החצב,החצב,החצב
החצוצרה,החצוצרה,החצוצרה
החרוב,החרוב,החרוב
החרמון,החרמון,החרמון
החרמש,החרמש,החרמש
החרש,החרש,החרש
החשמונאים,החשמונאים,החשמונאים
החשמל,החשמל,החשמל
הטית זין,הטית זין,הטית זין
היהודי זיס,היהודי זיס,היהודי זיס
היינה,היינה היינריך,היינה
הילדסהיימר,הילדסהיימר,הילדסהיימר
היסוד,היסוד,היסוד
היסמין,היסמין,היסמין
הירדן,הירדן,הירדן
הירקון,הירקון,הירקון
הירשביין,הירשביין,הירשביין
הירשנברג,הירשנברג,הירשנברג
היתד,היתד,היתד
הכובשים,הכובשים,הכובשים
הכוזרי,הכוזרי,הכוזרי
הכינור,הכינור,הכינור
הכישור,הכישור,הכישור
הכנסת הגדולה,הכנסת הגדולה,הכנסת הגדולה
הכרם,הכרם,הכרם
הכרמל,הכרמל,הכרמל
הלוחמים,הלוחמים,הלוחמים
הלוטוס,הלוטוס,הלוטוס
הלל הזקן,הלל הזקן,הלל הזקן
הלסינקי,הלסינקי,הלסינקי
הלפרין,הלפרין,הלפרין
המאבק,המאבק,המאבק
המגדלור,המגדלור,המגדלור
המגיד,המגיד,המגיד
המגיד מדובנא,המגיד מדובנא,המגיד מדובנא
המחוגה,המחוגה,המחוגה
המכבי,המכבי,המכבי
המכבש,המכבש,המכבש
המלאכה,המלאכה,המלאכה
המלחים,המלחים,המלחים
המליץ,המליץ,המליץ
המלך ג'ורג',המלך ג'ורג',המלך ג'ורג'
המלך חירם,המלך חירם,המלך חירם
המנוע,המנוע,המנוע
המנור,המנור,המנור
המסגר,המסגר,המסגר
המערכה,המערכה,המערכה
המפעל,המפעל,המפעל
המצביאים,המצביאים,המצביאים
המצודה,ד',המצודה
המקצוע,המקצוע,המקצוע
המרד,המרד,המרד
המרפא,המרפא,המרפא
המרץ,המרץ,המרץ
המשביר,המשביר,המשביר
המשלטים,המשלטים,המשלטים
המשמר האזרחי,המשמר האזרחי,המשמר האזרחי
המשתלה,,המשתלה
המתנדב,המתנדב,המתנדב
הנביאים,הנביאים,הנביאים
הנגב,הנגב,הנגב
הנגרים,הנגרים,הנגרים
הנוטר,הנוטר,הנוטר
הנחושת,הנחושת,הנחושת
"הנצי""ב","הנצי""ב","הנצי""ב"
הנשיאים,הנשיאים,הנשיאים
הס משה,הס,הס משה
הסבא משפולה,הסבא משפולה,הסבא משפולה
הסבוראים,הסבוראים,הסבוראים
הסדנה,הסדנה,הסדנה
הסוללים,הסוללים,הסוללים
הסיירים,הסיירים,הסיירים
הסנה,הסנה,הסנה
הספינה,הספינה,הספינה
העבודה,העבודה,העבודה
העוגן,העוגן,העוגן
העליה,העליה,העליה
העליה השניה,העליה השניה,העליה השניה
העמל,העמל,העמל
הערבה,ב',הערבה
הערמון,הערמון,הערמון
הפורצים,הפורצים,הפורצים
הפטיש,הפטיש,הפטיש
הפטמן,הפטמן,הפטמן
הפלך,הפלך,הפלך
"הפלמ""ח","הפלמ""ח","הפלמ""ח"
הפרדס,הפרדס,הפרדס
הפרסה,הפרסה,הפרסה
הצבי,הצבי,הצבי
הצדף,הצדף,הצדף
הצורפים,הצורפים,הצורפים
הצנחנים,הצנחנים,הצנחנים
הצפירה,הצפירה,הצפירה
הצרי,הצרי,הצרי
הקברניט,הקברניט,הקברניט
הקונגרס,הקונגרס,הקונגרס
הקישון,ו',הקישון
הקליר,הקליר,הקליר
הקלעים,הקלעים,הקלעים
הקנאים,הקנאים,הקנאים
הקריה,י',הקריה
הקשת,הקשת,הקשת
הר נבו,הר נבו,הר נבו
הר סיני,הר סיני,הר סיני
"הראב""ע","הראב""ע","הראב""ע"
הראל,הראל,הראל
הרב אלנקווה,הרב קוק,הרב אלנקווה
הרב גביזון חי,גביזון חי,הרב גביזון חי
הרב גורן שלמה,הרב גורן שלמה,הרב גורן שלמה
הרב הלר חיים,הלר חיים,הרב הלר חיים
הרב הרצוג,הרצוג,הרב הרצוג
הרב טולידנו,הרב טולדנו,הרב טולידנו
הרב ניסים,הרב ניסים,הרב ניסים
הרב עוזיאל,עוזיאל,הרב עוזיאל
הרב פרידמן,פרידמן דוד הרב,הרב פרידמן
הרב פרנקל,פרידמן דוד הרב,הרב פרנקל
הרב צוברי יוסף,צוברי יוסף הרב,הרב צוברי יוסף
הרב צירלסון,צירלסון,הרב צירלסון
הרב קוק,הרב קוק,הרב קוק
הרב רייפמן,רייפמן,הרב רייפמן
הרבי מבכרך,הרבי מבכרך,הרבי מבכרך
הרבי מפשיסחא,הרבי מפשיסחא,הרבי מפשיסחא
הרדוף,הרדוף,הרדוף
הרוגי מלכות,הרוגי מלכות,הרוגי מלכות
הרותם,הרותם,הרותם
הרטוב,הרטוב,הרטוב
הרכב,הרכב,הרכב
הרכבי אברהם,הרכבי אברהם,הרכבי אברהם
הרכבת,הרכבת,הרכבת
הרכש,הרכש,הרכש
הרן,הרן,הרן
הרצל,הרצל,הרצל
הרצפלד אברהם,הרצפלד אברהם,הרצפלד אברהם
הררי,הררי,הררי
"הש""ך","הש""ך","הש""ך"
השומר,השומר,השומר
השומרון,השומרון,השומרון
השופטים,השופטים,השופטים
השופר,השופר,השופר
השוק,השוק,השוק
השוק סמ,השוק,השוק סמ
השחקנים,השחקנים,השחקנים
השחר,השחר,השחר
השיבולת,השיבולת,השיבולת
השיטה,השיטה,השיטה
השיירות,השיירות,השיירות
השילוח,השילוח,השילוח
השכל,השכל,השכל
"השל""ה","השל""ה","השל""ה"
השלושה,השלושה,השלושה
השעורה,השעורה,השעורה
השפלה,השפלה,השפלה
השקמה,השקמה,השקמה
השרון,השרון,השרון
התבור,התבור,התבור
התורן,התורן,התורן
התחיה,התחיה,התחיה
התחנה המרכזית הח,,התחנה המרכזית הח
התיבונים,התיבונים,התיבונים
התלמי יהושע,התלמי יהושע,התלמי יהושע
התמר,התמר,התמר
התנאים,התנאים,התנאים
התנופה,התנופה,התנופה
התניא,התניא,התניא
התערוכה,התערוכה,התערוכה
התעשיה,התעשיה,התעשיה
התקוה,התקוה,התקוה
התקומה,התקומה,התקומה
התשעים ושלוש,התשעים ושלוש,התשעים ושלוש
ווג'ווד,ווג'ווד,ווג'ווד
וולמן יהודה,וולמן יהודה,וולמן יהודה
וולפסון,וולפסון,וולפסון
וורמיזה,וורמיזה,וורמיזה
ויזל,ויזל,ויזל
ויטל חיים,ויטל חיים,ויטל חיים
ויטלה מאוריציו,מאוריציו ויטלה,ויטלה מאוריציו
וייז ג'ורג',"וייז ג'ורג' ד""ר",וייז ג'ורג'
ויינר זאב,ויינר זאב,ויינר זאב
ויינשל,ויינשל,ויינשל
וייס אייזיק הירש,וייס איזיק הירש,וייס אייזיק הירש
וייס יעקב,וייס יעקב,וייס יעקב
וילון,וילון,וילון
וילנא,וילנא,וילנא
וילנסקי משה,וילנסקי משה,וילנסקי משה
וילסון,וילסון,וילסון
וינגייט,וינגייט,וינגייט
ויסבורג חיים,ויסבורג חיים,ויסבורג חיים
ויסוצקי,ויסוצקי,ויסוצקי
ויצמן,ויצמן,ויצמן
ויקטור הוגו,ויקטור הוגו,ויקטור הוגו
ויקי שירן,"שירן ויקי ד""ר",ויקי שירן
ויתקין,ויתקין,ויתקין
וכטנגוב,וכטנגוב,וכטנגוב
ולנברג ראול,ולנברג ראול,ולנברג ראול
ולנסיה,ולנסיה,ולנסיה
וסרמן יעקב,וסרמן יעקב,וסרמן יעקב
ועידת קטוביץ,ועידת קטוביץ,ועידת קטוביץ
ורבורג,ורבורג,ורבורג
ורד,ורד,ורד
ורדיאל,ורדיאל,ורדיאל
ורשבסקי,ורשבסקי,ורשבסקי
ותיק,ותיק,ותיק
ז'בוטינסקי,ז'בוטינסקי,ז'בוטינסקי
ז'ורס ז'אן,ז'ורס ז'אן,ז'ורס ז'אן
זאב,זאב,זאב
זאבי רחבעם גנדי,זאבי רחבעם (גנדי),זאבי רחבעם גנדי
זבד,זבד,זבד
זבולון,זבולון,זבולון
זולצר,זולצר,זולצר
זיגלבוים,זיגלבוים,זיגלבוים
זיו רבקה,זיו רבקה,זיו רבקה
זייד אלכסנדר,זייד אלכסנדר,זייד אלכסנדר
זימן,זימן יוסף,זימן
זכות משה,זכות משה,זכות משה
זכרון יעקב,זכרון יעקב,זכרון יעקב
זכרון קדושים,זכרון קדושים,זכרון קדושים
זכריה,זכריה,זכריה
זלוציסטי,זלוציסטי,זלוציסטי
זלטופולסקי,זלטופולסקי הלל,זלטופולסקי
זמיר עמנואל,זמיר עמנואל,זמיר עמנואל
זמנהוף,זמנהוף,זמנהוף
זנגביל,זנגביל,זנגביל
"זק""ש נלי","זק""ש נלי","זק""ש נלי"
זרובבל,זרובבל,זרובבל
זרח,זרח,זרח
זריצקי יוסף,זריצקי,זריצקי יוסף
חביב אבשלום,חביב אבשלום,חביב אבשלום
חבקוק,חבקוק,חבקוק
חבר הלאומים,חבר הלאומים,חבר הלאומים
חברה חדשה,חברה חדשה,חברה חדשה
חברון,חברון,חברון
"חברת ש""ס","חברת ש""ס","חברת ש""ס"
חבשוש חיים,חבשוש חיים,חבשוש חיים
חגי,חגי,חגי
חדרה,חדרה,חדרה
